"","X","LONG","LAT","Examined","Positive","Prevalence","ID","elevation","annual_mean_temperature","annual_diurnal_range","isothermality","temperature_seasonality","maximum_temperature_warmest_month","minimum_temperature_coldest_month","temperature_annual_range","mean_temperature_wettest_quarter","mean_temperature_driest_quarter","mean_temperature_warmest_quarter","mean_temperature_coldest_quarter","annual_precpitation","precipitation_wettest_month","precipitation_driest_month","precipitation_seasonality","precipitation_wettest_quarter","precipitation_dreist_quarter","precipitation_warmest_quarter","precipitation_coldest_quarter","LST_day_01","LST_night_01","slope","NDVI01_GT_utm","EVI01_GT_utm","LC01_GT_utm","FC_GT_utm","TCW01_GT_utm","SM0001_GT_utm","distwater_GT_utm","popden0001_GT_utm","housing2001_GT_utm","nightlights0001_GT_utm"
"1",1,603634.201235928,865619.987616285,108,29,0.268518519,1,256.72265625,260.312622070312,96,67,1370.42175292969,342.819763183594,200.819763183594,142,266.393188476562,265.312622070312,279.819763183594,243.900329589844,1245.98181152344,192.507339477539,6,62,478.767974853516,46.9194259643555,269.772583007812,396.768157958984,30.0728702545166,19.9447479248047,1.33048760890961,0.524457633495331,0.333969622850418,9,17.4296913146973,-0.200210437178612,43.1462478637695,2.35778665542603,64.3450698852539,0.091775007545948,0
"2",2,588111.998269884,909812.909199932,193,27,0.139896373,2,109.157737731934,275.175811767578,104,67,1367.42028808594,361.020233154297,206.685943603516,154.334289550781,280.821319580078,279.175811767578,295.175811767578,258.665710449219,1145.57458496094,192.334289550781,4,66,446,33,224,408.574584960938,30.9009284973145,21.4673480987549,0.586753249168396,0.455644935369492,0.274600207805634,10,118346.7421875,-0.181030228734016,30.6837730407715,0.277512967586517,10.470739364624,0.056587178260088,0
"3",3,614553.817092299,907662.271993054,46,2,0.043478261,3,108.756210327148,276,105,67,1337.10693359375,362,207,155,282,280,295,259.417236328125,1187.56567382812,201.869583129883,4,66,458.869567871094,32,226,429.025970458984,31.4339828491211,21.1277828216553,0.0792005360126495,0.504938900470734,0.310170084238052,9,1.51987338066101,-0.190314501523972,33.5467681884766,2.54471755027771,9.22716426849365,0.0427571423351765,0
"4",4,603122.068474383,862177.95108877,281,153,0.544483986,4,264.867950439453,259.092926025391,95,67,1349.22473144531,341.092926025391,200.594299316406,140.498626708984,265.092926025391,264.092926025391,278.092926025391,243.092926025391,1247.34997558594,190.81575012207,6,62,479.061706542969,47.7445640563965,273.150268554688,393.304901123047,29.8724594116211,20.0747528076172,1.48367166519165,0.531016886234283,0.349324315786362,9,60.2989654541016,-0.201150313019753,43.913143157959,1.47645342350006,64.3450698852539,0.110950082540512,0
"5",7,568861.197609743,886549.292089692,290,6,0.020689655,5,241.41667175293,265,99.5442047119141,66.1299438476562,1371.59204101562,350.414245605469,201,149.414260864258,270.129943847656,270.414245605469,284,247.452301025391,1171.42980957031,184.870056152344,6,63,458.455810546875,44,253,381.740112304688,30.3435859680176,20.4543056488037,0.456844389438629,0.492955207824707,0.322560220956802,9,6.11686897277832,-0.18734422326088,36.5436325073242,4.86741828918457,21.7029552459717,0.048989649862051,0
"6",8,578181.129975548,919744.720079139,29,5,0.172413793,6,114.969200134277,275,104.935981750488,66.5762634277344,1370.41772460938,360.912933349609,204.576263427734,156.336669921875,281,278.912933349609,295,258.064025878906,1123.08850097656,191,4,66,436.152526855469,32,216.576263427734,409.359710693359,29.2644195556641,23.6128177642822,0.351272433996201,0.482997983694077,0.292689472436905,9,126155.1015625,-0.159264892339706,28.7920532226562,0.475350975990295,16.6360549926758,0.0389494188129902,0
"7",17,599184.358844098,911869.021628435,161,51,0.316770186,7,175.103866577148,270.914123535156,104,66.6791152954102,1391.7275390625,357.234985351562,202,155.235000610352,277.234985351562,274.949188232422,291.184173583984,254.371704101562,1179.58081054688,200.085891723633,4,66,455.679107666016,33.0858879089355,228.444107055664,425.457580566406,32.2875747680664,21.979772567749,0.716318190097809,0.468295991420746,0.306186378002167,10,1.31176018714905,-0.204119607806206,34.4971656799316,9.3008394241333,9.22716426849365,0.0566697381436825,0
"8",18,604668.195516144,895475.305699031,237,48,0.202531646,8,132.615325927734,273.286468505859,102.399055480957,67,1342.66833496094,358.513397216797,206.827850341797,151.685531616211,279.173919677734,277.827850341797,292.827850341797,257.173919677734,1197.07922363281,197.172149658203,5,64.8874282836914,464.653961181641,37,238.713516235352,413.172149658203,32.0127754211426,21.3499927520752,0.512557089328766,0.502580523490906,0.308206886053085,9,1.23103725910187,-0.203852728009224,36.8250007629395,4.66575908660889,39.7584114074707,0.0639597326517105,0
"9",19,773816.231956312,964129.932181735,192,46,0.239583333,9,133.516647338867,277.557556152344,112.512023925781,66,1410.54272460938,368.220520019531,199.220504760742,169,259.953033447266,282.557556152344,297.778045654297,259.953033447266,1185.78088378906,239.779495239258,4,78,574.779479980469,19,152.779495239258,574.779479980469,33.178897857666,21.49928855896,0.525590717792511,0.46286678314209,0.292325049638748,12,3.28649163246155,-0.223451510071754,124.288345336914,2.20307564735413,13.501425743103,0.0432823188602924,0
"10",20,703947.285326845,874801.469024491,152,1,0.006578947,10,101.06795501709,277,108,69.0063171386719,1239.64294433594,362,207.006317138672,154.993682861328,269.993621826172,281.031524658203,294.031524658203,261.968475341797,1206,205,6,66,469,30,215.006317138672,459.962158203125,32.1801261901855,20.8435688018799,0.375903815031052,0.491262555122375,0.311120986938477,10,3024.4560546875,-0.190835446119308,80.6500778198242,0.204059258103371,27.8970775604248,0.0415273196995258,0
