"","Community","Longitude","Latitude"
"1","Agborlekame (1)",-2.205139,8.233833
"2","Agbelekame (1)",-2.205139,8.233833
"3","Agbelekame (2)",-2.1199,8.24556
"4","Asubende",-0.95961,8.0170556
"5","Baaya",-1.0155,8.0019
"6","Bui",-2.277,8.236
"7","Wiae Chabbon",-0.21,8.28
"8","Jagbengbendo",-0.125583,8.3342
"9","Kojoboni",-0.183138,8.4854722
"10","Kyingakrom",-2.109,8.098779
"11","New Longoro",-2.04509,8.1303
"12","Nyire",-2.295944,8.112139
"13","Ohiampe",-1.14,7.95
"14","Senyase",-0.996,8.0193
"15","Takumdo",-0.19,8.28
"16","Wiae",-0.22,8.32
