"","samples","Community","X","Y","region","district"
"1","parasites","Agborlekame (1)",-2.205139,8.233833,"Savannah","Bole"
"2","parasites","Agbelekame (1)",-2.205139,8.233833,"Savannah","Bole"
"3","parasites","Agbelekame (2)",-2.1199,8.24556,"Savannah","Bole"
"4","parasites","Asubende",-0.95961,8.0170556,"Bono East","Pru East"
"5","parasites","Baaya",-1.0155,8.0019,"Bono East","Pru East"
"6","parasites","Bui",-2.277,8.236,"Bono","Banda"
"7","parasites","Wiae Chabbon",-0.21,8.28,"Savannah","North East Gonja"
"8","parasites","Jagbengbendo",-0.125583,8.3342,"Northern","Kpandai"
"9","parasites","Kojoboni",-0.183138,8.4854722,"Northern","Kpandai"
"10","parasites","Kyingakrom",-2.109,8.098779,"Bono","Wenchi"
"11","parasites","New Longoro",-2.04509,8.1303,"Bono East","Kintampo South"
"12","parasites","Nyire",-2.295944,8.112139,"Bono","Banda"
"13","parasites","Ohiampe",-1.14,7.95,"Bono East","Pru West"
"14","parasites","Senyase",-0.996,8.0193,"Bono East","Pru East"
"15","parasites","Takumdo",-0.19,8.28,"Savannah","North East Gonja"
"16","vectors","Wiae",-0.22,8.32,"Savannah","North East Gonja"
