"SN","Source","Region","Country","Country_ID","ISO2","ISO3","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","LocationName","Longitude","Latitude","LocationType","Georeliability","Year_MDA1","N_MDA","Baseline_Prev","SurveyYear","Period","SurveyMonth","Passage","Method_0","Method_1","Method_2","Age_start","Age_end","Examined","Positive","Prevalence","CMFL","Vector_spp","Perc_PoolPositive","SourceOrigen","Funding","Composite_IU_ID"
"15530","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Abasuma","-2.5671499999999998","8.8379100000000008","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"109.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15531","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"ABEASE OLD TOWN",null,null,"Village","99",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"55.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15532","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","WENCHI","21436","Wenchi","21436","ABOABO","-2.0600000000000001","7.8300000000000001","Village","1",null,null,null,"1994","Before 2001","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"108.0","29.0","0.26851851900000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216221436"
"15533","AFRO","Western Africa","Ghana","20","GH","GHA","CENTRAL","2163","GOMOA WEST","21450","Gomoa West","21450","Abodom","-0.82215079999999996","5.5307899999999997","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"95.0","17.0","0.178947368",null,"",null,"APOC","APOC Trust Fund","AGHA0216321450"
"15534","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"ABODON",null,null,"Village","99",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"95.0","19.0","0.20000000000000001",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15535","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","ABOMBA KODJO","0.34999999999999998","7.8300000000000001","Village","1",null,null,null,"1990","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"54.0","38.0","0.70370370400000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"15536","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","ABOMBA KODJO","0.34999999999999998","7.8300000000000001","Village","1",null,null,null,"2000","Before 2001","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"59.0","3.0","5.0847457999999998E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"15537","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","Abomba Kojo","0.35909999999999997","7.8304833","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"39.0","1.0","2.5641026000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"15538","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","ABOMBA KOJO","0.34999999999999998","7.8300000000000001","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"40.0","1.0","2.5000000000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"15539","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"ABOTAREYE",null,null,"Village","99",null,null,null,"1989","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"265.0","88.0","0.33207547199999998",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15540","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"Abrewankor",null,null,"Village","99",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"91.0","1.0","0.010989011",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15541","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Abrewankor","-2.4653999999999998","9.2083600000000008","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"111.0","1.0","9.0090090000000001E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15542","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"ABREWANKOR",null,null,"Village","99",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"91.0","1.0","0.010989011",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15543","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","NKWANTA SOUTH","21575","Nkwanta South","21575","ABRUBRUWA","0.54031439999999997","7.9369167000000003","Village","1",null,null,null,"1990","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"324.0","176.0","0.54320987700000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216921575"
