samples,Community,X,Y
parasites,Agborlekame (1),-2.205139,8.233833
parasites,Agbelekame (1),-2.205139,8.233833
parasites,Agbelekame (2),-2.1199,8.24556
parasites,Asubende,-0.95961,8.0170556
parasites,Baaya,-1.0155,8.0019
parasites,Bui,-2.277,8.236
parasites,Wiae Chabbon,-0.21,8.28
parasites,Jagbengbendo,-0.125583,8.3342
parasites,Kojoboni,-0.183138,8.4854722
parasites,Kyingakrom,-2.109,8.098779
parasites,New Longoro,-2.04509,8.1303
parasites,Nyire,-2.295944,8.112139
parasites,Ohiampe,-1.14,7.95
parasites,Senyase,-0.996,8.0193
parasites,Takumdo,-0.19,8.28
vectors,Wiae,-0.22,8.32
